plan,gpa_actual,gpa_estimado,delta_gpa,prob_actual,prob_estimada,delta_prob,esfuerzo,Absences_plan,StudyTimeWeekly_plan,Tutoring_plan,ParentalSupport_plan
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 2 + activar Extracurricular,0.0,3.659043307621814,3.659043307621814,5.986510911079254e-08,0.9996366729711934,0.9996366131060843,46,5.0,20.0,1.0,4.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 2 + activar Sports,0.0,3.6613613168895958,3.6613613168895958,5.986510911079254e-08,0.9995681187464033,0.9995680588812942,46,5.0,20.0,1.0,4.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 2 + activar Music,0.0,3.6113828050948027,3.6113828050948027,5.986510911079254e-08,0.9992836010118028,0.9992835411466937,46,5.0,20.0,1.0,4.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 1 + activar Extracurricular,0.0,3.498529718460688,3.498529718460688,5.986510911079254e-08,0.9990099811577992,0.9990099212926901,45,5.0,20.0,1.0,3.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 1 + activar Sports,0.0,3.5008477277284693,3.5008477277284693,5.986510911079254e-08,0.9987988833439685,0.9987988234788594,45,5.0,20.0,1.0,3.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 2,0.0,3.466447847547098,3.466447847547098,5.986510911079254e-08,0.9985061370777654,0.9985060772126563,45,5.0,20.0,1.0,4.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 2 + activar Volunteering,0.0,3.4603464224349185,3.4603464224349185,5.986510911079254e-08,0.9983847373959908,0.9983846775308817,46,5.0,20.0,1.0,4.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + activar tutoring + aumentar apoyo parental en 1 + activar Music,0.0,3.4508692159336762,3.4508692159336762,5.986510911079254e-08,0.9980307682868634,0.9980307084217543,45,5.0,20.0,1.0,3.0
reducir ausencias a maximo 5 + aumentar estudio hasta 20h/semana + aumentar apoyo parental en 2 + activar Extracurricular,0.0,3.401859703794992,3.401859703794992,5.986510911079254e-08,0.9980229656538182,0.9980229057887091,44,5.0,20.0,0.0,4.0
reducir ausencias a maximo 5 + aumentar estudio en 8h/semana + activar tutoring + aumentar apoyo parental en 2 + activar Extracurricular,0.0,3.3866922240268695,3.3866922240268695,5.986510911079254e-08,0.9979305631633734,0.9979305032982643,37,5.0,10.530906223927545,1.0,4.0
